id,skills,interests,education,experience_level,certifications,career
235,Solidity DeFi Smart Contracts MetaMask,Web3 Blockchain,BCA,Intermediate,Web3 Developer,Blockchain Developer
236,Spring Boot MongoDB Python,Distributed Systems,BSc Computer Science,Advanced,Oracle Java,Backend Developer
237,Game Design Lua OpenGL Shader Programming,Interactive Media Simulation,MCA,Intermediate,Google Play Academy AWS GameTech,Game Developer
238,Pandas PostgreSQL R,Data Analytics,BCA,Advanced,Google Data Analytics IBM Data Analyst,Data Analyst
239,REST API Swift Android Studio Push Notifications,Android,BTech IT,Beginner,Apple iOS Developer Flutter Certified,Mobile App Developer
240,SQL Spark PyTorch Pandas,Research,BTech IT,Intermediate,IBM Data Science AWS CCP,Data Scientist
241,Solidity DeFi JavaScript Chainlink,Decentralization Web3,BTech IT,Advanced,Ethereum Developer,Blockchain Developer
242,Text Classification LLMs NLTK LangChain,Conversational AI Linguistics,BE AI,Intermediate,HuggingFace Certified DeepLearning.AI NLP,NLP Engineer
243,OKRs Data Analysis Stakeholder Management User Stories,Agile,MCA,Advanced,Scrum Master AWS CCP,Product Manager
244,Android Studio Xcode iOS,UX Cross-platform Apps,Diploma CS,Advanced,Flutter Certified Google Android Developer,Mobile App Developer
245,Python TensorFlow HuggingFace,AI Products,BCA,Intermediate,AWS CCP TensorFlow Developer,AI Engineer
246,REST API PostgreSQL FastAPI,Distributed Systems Backend Systems,BSc Computer Science,Beginner,AWS CCP Azure Fundamentals,Backend Developer
247,Python Scikit-learn Power BI Tableau,AI,MCA,Advanced,AWS CCP Google Cloud Associate,Data Scientist
248,Linux Cryptography Firewall Splunk,Privacy Ethical Hacking,BTech IT,Beginner,CompTIA CySA+,Cybersecurity Analyst
249,TensorFlow Seaborn Statistics NumPy,AI Machine Learning,MSc Data Science,Beginner,Google Cloud Associate,Data Scientist
250,REST API Webpack Angular Jest,Web Performance JavaScript Ecosystem,BCA,Advanced,Google UX Design,Frontend Developer
251,AWS SageMaker NumPy PyTorch Docker,Model Deployment,MSc Data Science,Advanced,Google Cloud ML AWS SA,ML Engineer
252,Linux Incident Response Vulnerability Assessment,Network Security,BSc Computer Science,Advanced,CEH,Cybersecurity Analyst
253,Ansible AWS Helm GitHub Actions,Platform Engineering Cloud Infrastructure,BSc Computer Science,Intermediate,Terraform Associate AWS SA,DevOps Engineer
254,Bash GitHub Actions ArgoCD,Automation,BTech IT,Advanced,AWS SA RedHat RHCSA,DevOps Engineer
255,Python Docker FastAPI,Backend Systems,BCA,Beginner,Oracle Java,Backend Developer
256,Excel Agile Power BI Requirements Gathering Linux,Strategy Enterprise Systems,BCA,Intermediate,Tableau Desktop,Business Analyst
257,AWS GraphQL ReactJS,Startups Full Stack Development,MCA,Advanced,MongoDB Associate,Full Stack Developer
258,R Statistics Databricks,Business Intelligence Insights,MCA,Advanced,Tableau Desktop Power BI Associate,Data Analyst
259,CI/CD Linux Design Patterns Unit Testing,Problem Solving,BCA,Beginner,AWS CCP,Software Engineer
260,Tailwind CSS Vue.js Jest Next.js,JavaScript Ecosystem,BSc Computer Science,Beginner,Google UX Design,Frontend Developer
261,Unreal Engine C# Lua,Simulation Game Development,BTech CSE,Intermediate,Unreal Engine Cert,Game Developer
262,Stakeholder Management JIRA Confluence Tableau,Data,MCA,Intermediate,ITIL Scrum Master,Business Analyst
263,Algorithms Design Patterns REST API C++,Engineering System Design,BTech IT,Beginner,Google Cloud Associate CompTIA A+,Software Engineer
264,HTML Canva Information Architecture User Research Google Play,Product Design Design,BSc Computer Science,Beginner,Adobe XD Certified HCI Certificate,UI/UX Designer
265,Azure AWS Networking,Scalability DevOps,MSc Data Science,Advanced,Google Cloud Associate Azure Fundamentals,Cloud Engineer
266,CI/CD Linux REST API Design Patterns,Engineering,BTech CSE,Intermediate,CompTIA A+ AWS CCP,Software Engineer
267,Jest REST API Angular Webpack,User Experience,BSc Computer Science,Advanced,Azure Fundamentals,Frontend Developer
268,SQL Tableau Looker R,Reporting,BTech CSE,Advanced,IBM Data Analyst,Data Analyst
269,CNNs Image Segmentation Object Detection,Deep Learning,BTech IT,Advanced,AWS CCP NVIDIA Deep Learning,Computer Vision Engineer
270,Firebase iOS Dart,Cross-platform Apps iOS,BCA,Intermediate,Flutter Certified Google Android Developer,Mobile App Developer
271,MongoDB Docker Git,Web Apps Startups,MCA,Advanced,Oracle Java,Full Stack Developer
272,TypeScript Figma Next.js Redux,UI Design Web Performance,Diploma CS,Beginner,AWS CCP,Frontend Developer
273,NumPy R Seaborn Python,Data Science,MSc Data Science,Advanced,IBM Data Science TensorFlow Developer,Data Scientist
274,Cryptography IDS/IPS Wireshark Penetration Testing,Threat Intelligence Privacy,BCA,Beginner,CompTIA CySA+ CompTIA Security+,Cybersecurity Analyst
275,Jest REST API HTML Angular,JavaScript Ecosystem,BTech IT,Beginner,Azure Fundamentals Google UX Design,Frontend Developer
276,Feature Engineering NumPy Spark Docker,AI Systems,BTech IT,Advanced,AWS SA,ML Engineer
277,Scrum Data Analysis Product Analytics Market Research,Business,MCA,Beginner,Scrum Master Google PM Certificate,Product Manager
278,Express.js Node.js Kafka,APIs Databases,BTech IT,Beginner,Spring Professional MongoDB Associate,Backend Developer
279,AWS HTML ReactJS,Cloud,MCA,Intermediate,AWS CCP Oracle Java,Full Stack Developer
280,Design Systems Wireframing Information Architecture CSS,Product Design Human-Computer Interaction,BE AI,Beginner,HCI Certificate Interaction Design,UI/UX Designer
281,Linux Terraform ArgoCD CI/CD LangChain,Automation DevOps,BSc Computer Science,Advanced,AWS SA,DevOps Engineer
282,JIRA Visio Data Analysis,Strategy,BTech CSE,Beginner,ITIL,Business Analyst
283,AWS GitHub Actions ArgoCD Terraform,DevOps Platform Engineering,BE AI,Advanced,Google Cloud DevOps AWS SA,DevOps Engineer
284,Information Architecture Sketch InVision HTML,User Experience,MSc Data Science,Beginner,HCI Certificate,UI/UX Designer
285,Figma CSS Angular,UI Design Web Development,BTech IT,Intermediate,Meta Frontend Azure Fundamentals,Frontend Developer
286,Data Structures Docker Python,Problem Solving,BE AI,Advanced,Google Cloud Associate CompTIA A+,Software Engineer
287,Git Next.js GraphQL ReactJS CloudFormation,Cloud,BSc Computer Science,Beginner,MongoDB Associate AWS CCP,Full Stack Developer
288,Wireframing CSS Accessibility Design Systems,Visual Design Product Design,Diploma CS,Intermediate,HCI Certificate Google UX Design,UI/UX Designer
289,spaCy HuggingFace PyTorch NER,AI,BE AI,Advanced,AWS CCP,NLP Engineer
290,Lua Python HLSL Unreal Engine,Interactive Media Simulation,BSc Computer Science,Intermediate,Unreal Engine Cert,Game Developer
291,Roadmapping Data Analysis OKRs Confluence,Agile,BTech IT,Advanced,Scrum Master PMP,Product Manager
292,Microservices MongoDB Kafka,Databases Microservices,BSc Computer Science,Intermediate,AWS CCP Azure Fundamentals,Backend Developer
293,Push Notifications Dart Swift Flutter,UX Mobile Development,Diploma CS,Advanced,Flutter Certified,Mobile App Developer
294,PostgreSQL Google Analytics R,Business Intelligence,BTech CSE,Intermediate,IBM Data Analyst Power BI Associate,Data Analyst
295,Wireshark Python Firewall Nmap Prototyping,Privacy,MCA,Advanced,CISSP Cisco CCNA,Cybersecurity Analyst
296,C++ REST API Unit Testing,System Design Engineering,MCA,Beginner,RedHat RHCSA,Software Engineer
297,NumPy Scikit-learn Matplotlib Statistics,Machine Learning Research,BSc Computer Science,Beginner,TensorFlow Developer AWS CCP,Data Scientist
298,GraphQL Microservices Spring Boot MongoDB HTML,Databases Microservices,BCA,Intermediate,MongoDB Associate,Backend Developer
299,Firewall IDS/IPS Incident Response Linux,Network Security Threat Intelligence,MCA,Advanced,CEH Cisco CCNA,Cybersecurity Analyst
300,Product Analytics Market Research JIRA Notion,Tech Leadership Business,BTech IT,Beginner,CSPO,Product Manager
301,TensorFlow Spark Statistics Jupyter Xcode,Statistics Machine Learning,BSc Computer Science,Intermediate,AWS CCP,Data Scientist
302,Swift Android Studio Kotlin Xcode,iOS,BTech CSE,Beginner,Flutter Certified,Mobile App Developer
303,Network Security Vulnerability Assessment Metasploit,Network Security,BTech CSE,Advanced,CISSP CompTIA Security+,Cybersecurity Analyst
304,Redis MongoDB CSS REST API,Full Stack Development,MCA,Intermediate,Meta Full Stack MongoDB Associate,Full Stack Developer
305,SIEM Cryptography Linux OWASP,Threat Intelligence Network Security,BSc Computer Science,Advanced,CEH,Cybersecurity Analyst
306,HLSL Blender OpenGL C#,Game Development,BTech IT,Intermediate,AWS GameTech Unity Certified,Game Developer
307,CloudFormation Lambda CDN,Infrastructure DevOps,Diploma CS,Beginner,AWS CCP Terraform Associate,Cloud Engineer
308,Web3.js JavaScript MetaMask Cryptography,Web3 DeFi,BTech IT,Advanced,Certified Blockchain Expert Solidity Developer,Blockchain Developer
309,Incident Response Penetration Testing SIEM Vulnerability Assessment,Privacy,Diploma CS,Advanced,CompTIA Security+ CISSP,Cybersecurity Analyst
310,Python PyTorch TensorFlow MLflow Vector Databases,MLOps,MCA,Beginner,TensorFlow Developer,ML Engineer
311,A/B Testing SQL User Stories Product Analytics,Product Strategy User Research,BTech IT,Beginner,Google PM Certificate PMP,Product Manager
312,Swift Kotlin Android,iOS,Diploma CS,Beginner,Apple iOS Developer,Mobile App Developer
313,Notion Scrum Stakeholder Management Market Research,Business User Research,BCA,Advanced,AWS CCP,Product Manager
314,Truffle NFT Cryptography Chainlink,Blockchain Web3,MCA,Advanced,Certified Blockchain Expert Ethereum Developer,Blockchain Developer
315,Pandas Scikit-learn Tableau,Analytics,BSc Computer Science,Advanced,Google Cloud Associate,Data Scientist
316,Docker Kubernetes AWS Python,Reliability Engineering,BTech IT,Advanced,Kubernetes CKA,Site Reliability Engineer
317,Pandas Google Analytics Looker ETL,Business Intelligence Data Analytics,BCA,Advanced,Power BI Associate,Data Analyst
318,AWS CI/CD Ansible Incident Management,DevOps Automation,MCA,Advanced,Google Cloud SRE Kubernetes CKA,Site Reliability Engineer
319,Generative AI Transformers Vector Databases PyTorch Docker,AI Research,BE AI,Beginner,Azure AI AWS CCP,AI Engineer
320,Azure S3 Networking Linux,Scalability DevOps,MCA,Intermediate,AWS SA AWS CCP,Cloud Engineer
321,Adobe XD Figma Sketch,Design,BCA,Beginner,Interaction Design Figma Expert,UI/UX Designer
322,Sentiment Analysis HuggingFace Python BERT Security,Text Analytics,BTech CSE,Intermediate,AWS CCP TensorFlow Developer,NLP Engineer
323,Algorithms Docker Python,Software Development System Design,BTech IT,Beginner,CompTIA A+,Software Engineer
324,OpenAI API Vector Databases RAG Transformers,Generative AI AI Products,MCA,Beginner,AWS CCP,AI Engineer
325,Google Analytics Pandas ETL Excel,Reporting Insights,BE AI,Advanced,Power BI Associate Tableau Desktop,Data Analyst
326,Kubernetes AWS Helm Bash,CI/CD Platform Engineering,BTech CSE,Advanced,Kubernetes CKA,DevOps Engineer
327,DeFi Web3.js Truffle Solidity,Web3,BTech CSE,Advanced,Solidity Developer Hyperledger,Blockchain Developer
328,Sketch Canva Wireframing User Research,Human-Computer Interaction,BTech IT,Advanced,HCI Certificate Adobe XD Certified,UI/UX Designer
329,CI/CD Grafana Chaos Engineering AWS,Automation Reliability Engineering,MCA,Beginner,AWS SA RedHat RHCSA,Site Reliability Engineer
330,Ansible Python AWS,Platform Engineering,BE AI,Beginner,Google Cloud DevOps AWS SA,DevOps Engineer
331,Prompt Engineering HuggingFace PyTorch Vector Databases,Generative AI,MCA,Intermediate,AWS CCP,AI Engineer
332,Transformers TensorFlow HuggingFace RAG,Conversational AI,BTech CSE,Advanced,Google Cloud Associate TensorFlow Developer,AI Engineer
333,SQL Linux Design Patterns C++,Problem Solving System Design,BE AI,Beginner,Oracle Java,Software Engineer
334,S3 Security Azure Lambda Hardhat,Infrastructure Scalability,MCA,Advanced,Azure Fundamentals,Cloud Engineer
335,Generative AI FastAPI TensorFlow Text Classification,Natural Language Processing Linguistics,BE AI,Beginner,TensorFlow Developer,NLP Engineer
336,TensorFlow CUDA PyTorch,Computer Vision Deep Learning,BTech CSE,Intermediate,PyTorch Certified,Computer Vision Engineer
337,Vulnerability Assessment Wireshark Linux Python,Privacy,BSc Computer Science,Beginner,CompTIA Security+ CEH,Cybersecurity Analyst
338,REST API Xcode Flutter React Native Network Security,Android Mobile Development,Diploma CS,Beginner,Firebase Google Android Developer,Mobile App Developer
339,Docker CSS GraphQL,Web Apps,BCA,Advanced,AWS CCP,Full Stack Developer
340,Ansible Linux AWS Grafana,Cloud Infrastructure,Diploma CS,Advanced,RedHat RHCSA Kubernetes CKA,DevOps Engineer
341,IDS/IPS Wireshark Metasploit Network Security,Ethical Hacking,MCA,Advanced,CEH,Cybersecurity Analyst
342,Redis Microservices Kafka GraphQL,APIs Microservices,BCA,Advanced,MongoDB Associate AWS CCP,Backend Developer
343,Bash Prometheus Helm Kubernetes,Platform Engineering Automation,BTech IT,Advanced,Kubernetes CKA,DevOps Engineer
344,Node.js MongoDB TypeScript,Cloud Startups,MCA,Beginner,AWS CCP,Full Stack Developer
345,Data Visualization Spark Power BI Databricks,Business Intelligence,BCA,Beginner,Tableau Desktop AWS CCP,Data Analyst
346,Pandas Excel Statistics R,Business Intelligence,BTech CSE,Intermediate,Power BI Associate,Data Analyst
347,Docker IAM S3 CDN,DevOps,BSc Computer Science,Advanced,Azure Fundamentals Terraform Associate,Cloud Engineer
348,Docker Model Deployment AWS SageMaker Python,MLOps Machine Learning,MCA,Intermediate,AWS SageMaker,ML Engineer
349,Process Mapping Business Process SQL Data Analysis,Process Improvement,BTech CSE,Intermediate,ITIL PMI-PBA,Business Analyst
350,REST API Python Design Patterns Docker,Engineering Software Development,BTech IT,Beginner,RedHat RHCSA,Software Engineer
351,TensorFlow Python Transformers LLMs,Natural Language Processing AI,MSc Data Science,Advanced,TensorFlow Developer,NLP Engineer
352,JIRA Excel Data Analysis Business Process Lua,Strategy,BCA,Beginner,Tableau Desktop PMI-PBA,Business Analyst
353,Python JavaScript Solidity Rust HTML,Cryptography DeFi,BTech CSE,Beginner,Ethereum Developer,Blockchain Developer
354,JavaScript ReactJS Redux REST API,Web Performance,MCA,Beginner,Azure Fundamentals JavaScript Algorithms,Frontend Developer
355,GraphQL Git ReactJS Express.js,Full Stack Development,BTech CSE,Advanced,AWS CCP Oracle Java,Full Stack Developer
356,Spark Pandas Feature Engineering MLflow,Machine Learning,MSc Data Science,Beginner,AWS SA AWS SageMaker,ML Engineer
357,Design Patterns REST API System Design,Open Source Problem Solving,BTech IT,Intermediate,Google Cloud Associate,Software Engineer
358,Python CI/CD Prometheus Grafana,DevOps,BTech CSE,Advanced,Terraform Associate,Site Reliability Engineer
359,Pandas AWS SageMaker Kafka MLflow,Model Deployment Deep Learning,BSc Computer Science,Advanced,Azure ML AWS SageMaker,ML Engineer
360,Power BI Business Process Requirements Gathering,Business Analysis,BCA,Advanced,Tableau Desktop,Business Analyst
361,PyTorch Python NLTK FastAPI,Linguistics,BE AI,Beginner,AWS CCP DeepLearning.AI NLP,NLP Engineer
362,Penetration Testing IDS/IPS Nmap Vulnerability Assessment,Ethical Hacking,Diploma CS,Advanced,Cisco CCNA CEH,Cybersecurity Analyst
363,CloudFormation Google Cloud S3 CDN,Networking Cloud Computing,MSc Data Science,Advanced,AWS CCP AWS SA,Cloud Engineer
364,Transformers PyTorch LangChain HuggingFace Push Notifications,AI Products,BCA,Advanced,AWS CCP TensorFlow Developer,AI Engineer
365,Accessibility Wireframing Zeplin,Visual Design Design,BTech IT,Intermediate,Figma Expert Adobe XD Certified,UI/UX Designer
366,C++ Java System Design Python,Engineering,BSc Computer Science,Advanced,Oracle Java,Software Engineer
367,TensorFlow Sentiment Analysis LangChain spaCy,Natural Language Processing,BCA,Beginner,Google Cloud ML,NLP Engineer
368,Incident Response Linux Penetration Testing Network Security,Threat Intelligence,Diploma CS,Intermediate,CEH,Cybersecurity Analyst
369,NER Sentiment Analysis spaCy Python,AI,BE AI,Intermediate,Google Cloud ML TensorFlow Developer,NLP Engineer
370,Ethereum Solidity IPFS,Decentralization,MCA,Intermediate,Certified Blockchain Expert,Blockchain Developer
371,MongoDB Node.js PostgreSQL GraphQL,Full Stack Development Web Apps,BTech CSE,Beginner,AWS CCP Meta Full Stack,Full Stack Developer
372,Kubernetes CI/CD SLIs/SLOs Chaos Engineering,Observability Automation,BTech IT,Intermediate,AWS SA,Site Reliability Engineer
373,GraphQL Figma Redux Next.js,User Experience Web Performance,BTech IT,Beginner,Meta Frontend Azure Fundamentals,Frontend Developer
374,Generative AI NLTK TensorFlow,Text Analytics,MCA,Intermediate,AWS CCP,NLP Engineer
375,Jupyter Statistics NumPy,Research AI,BTech CSE,Intermediate,Azure Fundamentals IBM Data Science,Data Scientist
376,Kubernetes AWS Terraform Python Networking,Automation,Diploma CS,Advanced,RedHat RHCSA Kubernetes CKA,Site Reliability Engineer
377,Ansible CI/CD SLIs/SLOs,Observability Reliability Engineering,BCA,Intermediate,AWS SA RedHat RHCSA,Site Reliability Engineer
378,Prompt Engineering TensorFlow PyTorch,LLMs,BTech CSE,Beginner,HuggingFace Certified,AI Engineer
379,Scikit-learn Jupyter Power BI Matplotlib,Research,MSc Data Science,Advanced,Azure Fundamentals Google Cloud Associate,Data Scientist
380,REST API Python CI/CD Docker,Open Source,BE AI,Beginner,CompTIA A+,Software Engineer
381,CNNs OpenCV YOLO Python,AI Research Robotics,MCA,Intermediate,Google Cloud ML NVIDIA Deep Learning,Computer Vision Engineer
382,FastAPI HuggingFace OpenAI API Vector Databases,Conversational AI LLMs,BE AI,Beginner,TensorFlow Developer,AI Engineer
383,HuggingFace LLMs FastAPI TensorFlow,LLMs,MCA,Intermediate,Azure AI AWS CCP,AI Engineer
384,Metasploit Linux Python OWASP,Ethical Hacking,BTech CSE,Advanced,CompTIA Security+ CISSP,Cybersecurity Analyst
385,Keras CUDA CNNs,Deep Learning Computer Vision,BTech CSE,Beginner,Google Cloud ML TensorFlow Developer,Computer Vision Engineer
386,Prompt Engineering LangChain OpenAI API,AI Research Generative AI,BTech CSE,Intermediate,Azure AI HuggingFace Certified,AI Engineer
387,Terraform Linux CDN Kubernetes,Cloud Computing,BE AI,Advanced,AWS CCP Azure Fundamentals,Cloud Engineer
388,NumPy Jupyter Python R REST API,Machine Learning,MSc Data Science,Advanced,Google Cloud Associate,Data Scientist
389,GraphQL REST API Java,Microservices,BSc Computer Science,Intermediate,Azure Fundamentals,Backend Developer
390,Kubernetes Linux Docker,DevOps Automation,BTech IT,Intermediate,Terraform Associate RedHat RHCSA,DevOps Engineer
391,Grafana Prometheus Docker Kubernetes,Cloud Infrastructure,BTech IT,Beginner,Terraform Associate,DevOps Engineer
392,Prometheus AWS CI/CD Incident Management,Cloud Operations Automation,BSc Computer Science,Intermediate,Google Cloud SRE,Site Reliability Engineer
393,Docker Next.js Redis,Startups,BCA,Advanced,MongoDB Associate Meta Full Stack,Full Stack Developer
394,RAG Prompt Engineering TensorFlow FastAPI,AI Research,BE AI,Intermediate,TensorFlow Developer,AI Engineer
395,Python Scikit-learn Pandas,Machine Learning Data Science,MSc Data Science,Beginner,TensorFlow Developer,Data Scientist
396,Agile Figma Market Research,Product Strategy,BCA,Intermediate,PMP,Product Manager
397,MLflow Model Deployment FastAPI,Model Deployment MLOps,BE AI,Intermediate,TensorFlow Developer,ML Engineer
398,Linux Terraform AWS Kubernetes Docker,Networking,BTech IT,Advanced,Google Cloud Associate Terraform Associate,Cloud Engineer
399,SQL Roadmapping Figma,User Research Product Strategy,BTech CSE,Advanced,Google PM Certificate PMP,Product Manager
400,PyTorch NumPy MediaPipe,Deep Learning Image Processing,BE AI,Advanced,PyTorch Certified,Computer Vision Engineer
401,Chaos Engineering AWS Observability Terraform,Automation,Diploma CS,Advanced,AWS SA Google Cloud SRE,Site Reliability Engineer
402,Terraform AWS Jenkins,Platform Engineering Cloud Infrastructure,MCA,Intermediate,RedHat RHCSA,DevOps Engineer
403,Metasploit IDS/IPS Splunk Wireshark,Network Security,MCA,Advanced,CompTIA Security+,Cybersecurity Analyst
404,Angular CSS Redux,User Experience Web Performance,BTech CSE,Beginner,AWS CCP Meta Frontend,Frontend Developer
405,Python Image Segmentation OpenCV TensorFlow,AI Research,BTech CSE,Beginner,Google Cloud ML,Computer Vision Engineer
406,MongoDB Kafka Java PostgreSQL,APIs,BCA,Beginner,Spring Professional AWS CCP,Backend Developer
407,GitHub Actions ArgoCD Python Helm,DevOps,BE AI,Intermediate,Kubernetes CKA AWS SA,DevOps Engineer
408,Data Visualization Google Analytics Excel Pandas,Insights,BTech CSE,Beginner,Tableau Desktop AWS CCP,Data Analyst
409,Transformers TensorFlow BERT,Natural Language Processing,BE AI,Beginner,Google Cloud ML,NLP Engineer
410,Canva Adobe XD Zeplin InVision NumPy,Visual Design User Experience,BTech CSE,Advanced,Interaction Design Adobe XD Certified,UI/UX Designer
411,Firewall Cryptography Network Security OWASP,Threat Intelligence Cybersecurity,Diploma CS,Intermediate,CEH CompTIA Security+,Cybersecurity Analyst
412,Prompt Engineering PyTorch Vector Databases RAG,LLMs AI Products,BTech CSE,Beginner,HuggingFace Certified AWS CCP,AI Engineer
413,Bash Grafana Prometheus Docker Python,Observability Cloud Operations,BTech CSE,Advanced,Kubernetes CKA,Site Reliability Engineer
414,MongoDB Redis Spring Boot FastAPI,Microservices Databases,BCA,Beginner,Azure Fundamentals,Backend Developer
415,Usability Testing Information Architecture Prototyping Canva,Visual Design,BCA,Intermediate,Adobe XD Certified,UI/UX Designer
416,Docker MongoDB Next.js TypeScript,Web Apps APIs,MCA,Intermediate,AWS CCP,Full Stack Developer
417,ReactJS JavaScript HTML Next.js,User Experience UI Design,MCA,Intermediate,JavaScript Algorithms,Frontend Developer
418,Kafka Redis PostgreSQL Spring Boot,APIs Distributed Systems,MSc Data Science,Beginner,AWS CCP Spring Professional,Backend Developer
419,Dart Kotlin Google Play,Mobile Development UX,BTech CSE,Intermediate,Flutter Certified Google Android Developer,Mobile App Developer
420,C++ Unreal Engine Shader Programming Unity,Graphics,BTech IT,Advanced,Unity Certified,Game Developer
421,YOLO PyTorch Pillow,Robotics Image Processing,BE AI,Beginner,Google Cloud ML TensorFlow Developer,Computer Vision Engineer
422,Azure Linux IAM,Networking Infrastructure,BE AI,Advanced,AWS SA,Cloud Engineer
423,System Design Design Patterns Python Docker,Software Development,BSc Computer Science,Advanced,Google Cloud Associate,Software Engineer
424,ETL Google Analytics PostgreSQL Python,Reporting,BTech CSE,Advanced,IBM Data Analyst Tableau Desktop,Data Analyst
425,Linux Data Structures System Design CI/CD,Open Source Software Development,MCA,Intermediate,CompTIA A+ AWS CCP,Software Engineer
426,Stakeholder Management Market Research Data Analysis User Stories,Product Strategy Agile,BSc Computer Science,Beginner,Google PM Certificate,Product Manager
427,User Stories Scrum Confluence JIRA,Agile,BTech IT,Advanced,CSPO,Product Manager
428,Cryptography DeFi Web3.js NFT,Cryptography Blockchain,BTech CSE,Beginner,Solidity Developer,Blockchain Developer
429,Firebase Dart iOS Xcode,UX Cross-platform Apps,MCA,Beginner,Apple iOS Developer AWS CCP,Mobile App Developer
430,Notion Confluence Agile JIRA Power BI,Business Agile,BTech IT,Advanced,Scrum Master AWS CCP,Product Manager
431,IAM S3 Lambda Google Cloud,Cloud Computing,MCA,Advanced,Terraform Associate,Cloud Engineer
432,Vue.js Figma ReactJS Webpack Kubernetes,UI Design JavaScript Ecosystem,BTech IT,Advanced,AWS CCP JavaScript Algorithms,Frontend Developer
433,AWS Chaos Engineering Kubernetes Ansible,Reliability Engineering,Diploma CS,Advanced,Terraform Associate Google Cloud SRE,Site Reliability Engineer
434,Looker Data Visualization ETL Excel,Data Analytics Visualization,BCA,Advanced,Power BI Associate,Data Analyst
435,Hardhat Ethereum Chainlink Solidity,DeFi,BTech CSE,Advanced,Ethereum Developer Web3 Developer,Blockchain Developer
436,Figma Stakeholder Management Agile Market Research Dart,Agile Business,MCA,Beginner,CSPO AWS CCP,Product Manager
437,Docker CSS REST API Node.js,Cloud Startups,BCA,Advanced,Oracle Java AWS CCP,Full Stack Developer
438,GraphQL Redis Node.js Spring Boot Product Analytics,Backend Systems,BCA,Intermediate,Spring Professional,Backend Developer
439,SLIs/SLOs Chaos Engineering Kubernetes Docker,Observability Cloud Operations,MCA,Advanced,Terraform Associate RedHat RHCSA,Site Reliability Engineer
440,MLflow Model Deployment Spark AWS SageMaker NumPy,Model Deployment,MCA,Advanced,TensorFlow Developer,ML Engineer
441,Penetration Testing Firewall Cryptography Nmap HTML,Network Security Privacy,BTech IT,Intermediate,CISSP,Cybersecurity Analyst
442,Ansible Linux Grafana Docker PyTorch,DevOps,MCA,Advanced,AWS SA Kubernetes CKA,DevOps Engineer
443,Roadmapping Notion Market Research,Tech Leadership,MCA,Advanced,CSPO AWS CCP,Product Manager
444,MetaMask Web3.js Solidity Chainlink CNNs,Cryptography Decentralization,BTech IT,Beginner,Hyperledger,Blockchain Developer
445,Information Architecture Prototyping Accessibility,Visual Design Design,BTech IT,Beginner,Figma Expert HCI Certificate,UI/UX Designer
446,JIRA Confluence Product Analytics Figma,User Research,BTech CSE,Beginner,Scrum Master,Product Manager
447,Prometheus Kubernetes Docker,Reliability Engineering Automation,Diploma CS,Intermediate,Kubernetes CKA,Site Reliability Engineer
448,Python Object Detection OpenCV,Deep Learning,BTech CSE,Beginner,PyTorch Certified,Computer Vision Engineer
449,MySQL Microservices Node.js,Databases,Diploma CS,Intermediate,Spring Professional,Backend Developer
450,Agile Power BI Data Analysis,Enterprise Systems,MCA,Advanced,Scrum Master,Business Analyst
451,Grafana GitHub Actions Kubernetes Bash Python,Platform Engineering Automation,BTech CSE,Beginner,Terraform Associate Google Cloud DevOps,DevOps Engineer
452,Azure Lambda Terraform CDN Metasploit,Scalability,MCA,Advanced,AWS CCP AWS SA,Cloud Engineer
453,PyTorch spaCy TensorFlow Text Classification Unreal Engine,Linguistics Text Analytics,MCA,Beginner,Google Cloud ML,NLP Engineer
454,Terraform Google Cloud AWS S3,Networking,BTech CSE,Beginner,Terraform Associate,Cloud Engineer
455,Dart React Native Android Studio,iOS Android,Diploma CS,Beginner,Flutter Certified,Mobile App Developer
456,PostgreSQL HTML AWS GraphQL,APIs Cloud,BCA,Intermediate,Oracle Java Azure Fundamentals,Full Stack Developer
457,Stakeholder Management Power BI Use Cases,Business Analysis,BSc Computer Science,Advanced,PMI-PBA,Business Analyst
458,Redis TypeScript MongoDB,Startups,BSc Computer Science,Beginner,Azure Fundamentals Meta Full Stack,Full Stack Developer
459,Shader Programming HLSL 3D Modeling,3D Design,BTech IT,Intermediate,C++ Institute AWS GameTech,Game Developer
460,Python LLMs Transformers LangChain,Text Analytics,BE AI,Advanced,Google Cloud ML TensorFlow Developer,NLP Engineer
461,Product Analytics Market Research Stakeholder Management Confluence,Tech Leadership Agile,BCA,Intermediate,AWS CCP Google PM Certificate,Product Manager
462,PyTorch Tableau TensorFlow,Analytics,MCA,Intermediate,Google Cloud Associate,Data Scientist
463,SQL A/B Testing Confluence Data Analysis,Agile,MCA,Advanced,PMP,Product Manager
464,TensorFlow Kubeflow PyTorch Python,MLOps,MCA,Advanced,Google Cloud ML TensorFlow Developer,ML Engineer
465,GraphQL ReactJS TypeScript Next.js,Startups Full Stack Development,BTech IT,Advanced,MongoDB Associate,Full Stack Developer
466,Accessibility Canva InVision User Research,Human-Computer Interaction Visual Design,BCA,Advanced,Figma Expert,UI/UX Designer
467,Express.js FastAPI PostgreSQL,Microservices,BTech CSE,Advanced,MongoDB Associate AWS CCP,Backend Developer
468,Ethereum Cryptography Truffle DeFi,Decentralization DeFi,BSc Computer Science,Intermediate,Solidity Developer Hyperledger,Blockchain Developer
